Month,Curiosities
Setembro,"… a exibição da telenovela brasileira Vale Tudo (1988) em Cuba fez com que os restaurantes abertos na ilha fossem chamados de ""paladares"", em referência a um restaurante da trama?"
Setembro,"… antes restrito ao uso militar, o sistema de navegação por satélite GPS foi liberado para uso civil gratuito pelo governo dos Estados Unidos após a derrubada do voo KAL 007 em 1983, quando este invadiu por engano o espaço aéreo da União Soviética?"
Setembro,"… em sequência do maior acidente do mundo envolvendo barragens de rejeitos, o rompimento de barragem em Mariana, sedimentos contaminantes foram arrastados do interior de Minas Gerais por todo o leito do rio Doce, até os recifes de corais no arquipélago atlântico de Abrolhos?"
Setembro,"… o médico brasileiro Barata Ribeiro foi nomeado ministro do Supremo Tribunal Federal em 1893, mesmo sem ser formado em direito?"
Setembro,"… desde 1987, o Irã reconhece a identidade transgênero por meio de uma cirurgia de redesignação sexual, sendo parcialmente financiada pelo Estado?"
Setembro,… a capa do álbum de estreia do supergrupo brasileiro Tribalistas usou calda de chocolate para ilustrar o trio?
Setembro,… Macapá é a única capital estadual do Brasil que não possui interligação direta por rodovias a outras capitais?
Setembro,"… mesmo associado à Seleção Brasileira de Futebol desde 1954, o Canarinho foi ganhar estatuto de mascote oficial apenas em 2014?"
Setembro,"… o Cruzamento de Shibuya é considerado a travessia de pedestres mais movimentada do mundo, com até três mil pessoas atravessando simultaneamente?"
Setembro,"… o fungo chamado Ophiocordyceps unilateralis infecta formigas e manipula seu comportamento, transformando-as em ""formigas zumbis""?"
Setembro,"… como parte do processo de certificação de tipo, os fabricantes de aeronaves costumam disparar frangos mortos em para-brisas com um canhão de frango para simular colisões com pássaros?"
Agosto,"… os trobriandeses acreditam que a gravidez é causada por espíritos ancestrais, não por relações sexuais?"
Agosto,"… a mosca-das-frutas foi o primeiro animal a ser enviado ao espaço, em 1947?"
Agosto,"… o Papa João Paulo II ofereceu uma das balas que o atingiu durante uma tentativa de assassinato em 1981 ao Santuário de Fátima, sendo posteriormente colocada na coroa da estátua de Nossa Senhora de Fátima, onde permanece até hoje?"
